,Target Name,"Target, Subunit, Species",Target Mutant/Chimera Details,Target Species (Bioactivity),Substance Action on Target,Substance Effect,Bioassay Category,Bioassay Name,Bioassay Details,Biological Species/NCBI ID,Medchem: Measurement Parameter,Unit,Qualitative value,Quantitative value,References,Canomical_Smiles,pChEMBL
1391,ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human]:Wild,human,Inhibitor,NaN,In Vitro (Efficacy),NaN,Inhibitory concentration of the compound (dissolved in DMSO) against growth of human NPM-ALK overexpressing human KARPAS-299 cell line upon incubation for two days; Range is ~ 0.01 uM - 1 uM,human,IC50,µM,=,1.0,Patent; Novartis (w/o Sandoz); NOVARTIS AG; WO2005/26130; (2005); A1;,COc1cc(Nc2nccc(Nc3cccc(N4CCN(C)CC4)c3S(N)(=O)=O)n2)cc(OC)c1OC,0
1392,ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human]:Wild,human,NaN,NaN,In Vitro (Efficacy),NaN,Inhibitory concentration of the compound (dissolved in DMSO) against growth of human NPM-ALK overexpressing murine BaF3 cells upon incubation for two days; Range is ~ 0.01 uM - 1 uM,human,IC50,µM,=,1.0,Patent; Novartis (w/o Sandoz); NOVARTIS AG; WO2005/26130; (2005); A1;,COc1ccc(Nc2ccnc(Nc3ccc(OC)c(OCCN4CCCC4)c3)n2)c(S(N)(=O)=O)c1,0
1394,ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human]:Wild,human,NaN,NaN,In Vitro (Efficacy),NaN,Inhibitory concentration of the compound (dissolved in DMSO) against growth of human NPM-ALK overexpressing murine BaF3 cells upon incubation for two days; Range is ~ 0.01 uM - 1 uM,human,IC50,µM,=,1.0,Patent; Novartis (w/o Sandoz); NOVARTIS AG; WO2005/26130; (2005); A1;,CC(C)Oc1cccc(Nc2ccnc(Nc3cccc(OCCN4CCCCC4)c3)n2)c1S(N)(=O)=O,0
1396,ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human]:Wild,human,NaN,NaN,In Vitro (Efficacy),NaN,Inhibitory concentration of the compound (dissolved in DMSO) against growth of human NPM-ALK overexpressing murine BaF3 cells upon incubation for two days; Range is ~ 0.01 uM - 1 uM,human,IC50,µM,=,1.0,Patent; Novartis (w/o Sandoz); NOVARTIS AG; WO2005/26130; (2005); A1;,CCOc1ccc(Nc2ccnc(Nc3ccc(C)c(OCCN4CCCC4)c3)n2)c(S(N)(=O)=O)c1,0
1398,ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human]:Wild,human,NaN,NaN,In Vitro (Efficacy),NaN,Inhibitory concentration of the compound (dissolved in DMSO) against growth of human NPM-ALK overexpressing murine BaF3 cells upon incubation for two days; Range is ~ 0.01 uM - 1 uM,human,IC50,µM,=,1.0,Patent; Novartis (w/o Sandoz); NOVARTIS AG; WO2005/26130; (2005); A1;,COc1ccc(Nc2nccc(Nc3cccc(OC)c3S(N)(=O)=O)n2)cc1OCCCN1CCOCC1,0
1389,ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human]:Wild,human,Inhibitor,NaN,In Vitro (Efficacy),NaN,Inhibitory concentration of the compound (dissolved in DMSO) against growth of human NPM-ALK overexpressing human KARPAS-299 cell line upon incubation for two days; Range is ~ 0.01 uM - 1 uM,human,IC50,µM,=,1.0,Patent; Novartis (w/o Sandoz); NOVARTIS AG; WO2005/26130; (2005); A1;,COc1cccc(Nc2ccnc(Nc3cccc(OCCN4CCCCC4)c3)n2)c1S(N)(=O)=O,0
1450,ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human]:Wild,human,NaN,NaN,In Vitro (Efficacy),NaN,Antiproliferative activity against growth signal mechanism mediated by human neuroplasmin-anaplastic lymphoma kinase overexpressed in human KARPAS-299 lymphoma cell line upon incubation with the compound dissolved in DMSO for 2 days; Range = 0.01 uM - 1 uM,human,IC50,µM,=,1.0,Patent; Novartis (w/o Sandoz); NOVARTIS AG; WO2006/21454; (2006); A2;,COc1ccc(N2CCC(O)CC2)cc1Nc1ncc(Br)c(Nc2ccccc2S(=O)(=O)NC(C)C)n1,0
1400,ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human]:Wild,human,NaN,NaN,In Vitro (Efficacy),NaN,Inhibitory concentration of the compound (dissolved in DMSO) against growth of human NPM-ALK overexpressing murine BaF3 cells upon incubation for two days; Range is ~ 0.01 uM - 1 uM,human,IC50,µM,=,1.0,Patent; Novartis (w/o Sandoz); NOVARTIS AG; WO2005/26130; (2005); A1;,COc1cccc(Nc2ccnc(Nc3cccc(OCCN4CCN(Cc5ccccc5)CC4)c3)n2)c1S(N)(=O)=O,0
1448,ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human]:Wild,human,NaN,NaN,In Vitro (Efficacy),NaN,Antiproliferative activity against growth signal mechanism mediated by human neuroplasmin-anaplastic lymphoma kinase overexpressed in human KARPAS-299 lymphoma cell line upon incubation with the compound dissolved in DMSO for 2 days; Range = 0.01 uM - 1 uM,human,IC50,µM,=,1.0,Patent; Novartis (w/o Sandoz); NOVARTIS AG; WO2006/21454; (2006); A2;,COc1ccc(N2CCOCC2)cc1Nc1ncc(Cl)c(Nc2ccccc2S(=O)(=O)NCC(C)C)n1,0
1402,ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human]:Wild,human,NaN,NaN,In Vitro (Efficacy),NaN,Inhibitory concentration of the compound (dissolved in DMSO) against growth of human NPM-ALK overexpressing murine BaF3 cells upon incubation for two days; Range is ~ 0.01 uM - 1 uM,human,IC50,µM,=,1.0,Patent; Novartis (w/o Sandoz); NOVARTIS AG; WO2005/26130; (2005); A1;,Cc1cccc(Nc2ccnc(Nc3cccc(OCCN4CCN(C5CCCC5)CC4)c3)n2)c1S(N)(=O)=O,0
1367,ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human]:Wild,human,Inhibitor,NaN,In Vitro (Efficacy),NaN,Inhibitory concentration of the compound (dissolved in DMSO) against growth of human NPM-ALK overexpressing human KARPAS-299 cell line upon incubation for two days; Range is ~ 0.01 uM - 1 uM,human,IC50,µM,=,1.0,Patent; Novartis (w/o Sandoz); NOVARTIS AG; WO2005/26130; (2005); A1;,CC(=O)N(C)c1ccc(Nc2nccc(Nc3ccc(S(=O)(=O)NCCOCCO)cc3)n2)cc1,0
1377,ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human]:Wild,human,Inhibitor,NaN,In Vitro (Efficacy),NaN,Inhibitory concentration of the compound (dissolved in DMSO) against growth of human NPM-ALK overexpressing human KARPAS-299 cell line upon incubation for two days; Range is ~ 0.01 uM - 1 uM,human,IC50,µM,=,1.0,Patent; Novartis (w/o Sandoz); NOVARTIS AG; WO2005/26130; (2005); A1;,COc1cc(Nc2nccc(Nc3cccc(N4CCOCC4)c3S(N)(=O)=O)n2)cc(OC)c1OC,0
1369,ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human]:Wild,human,Inhibitor,NaN,In Vitro (Efficacy),NaN,Inhibitory concentration of the compound (dissolved in DMSO) against growth of human NPM-ALK overexpressing human KARPAS-299 cell line upon incubation for two days; Range is ~ 0.01 uM - 1 uM,human,IC50,µM,=,1.0,Patent; Novartis (w/o Sandoz); NOVARTIS AG; WO2005/26130; (2005); A1;,COc1ccc(Nc2ccnc(Nc3ccc(OC)c(OCCN4CCCCC4)c3)n2)cc1O,0
1370,ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human]:Wild,human,NaN,NaN,In Vitro (Efficacy),NaN,Inhibitory concentration of the compound (dissolved in DMSO) against growth of human NPM-ALK overexpressing murine BaF3 cells upon incubation for two days; Range is ~ 0.01 uM - 1 uM,human,IC50,µM,=,1.0,Patent; Novartis (w/o Sandoz); NOVARTIS AG; WO2005/26130; (2005); A1;,COc1cc(Nc2nccc(Nc3ccc(S(=O)(=O)NCCOCCO)cc3)n2)cc(OC)c1OC,0
1372,ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human]:Wild,human,NaN,NaN,In Vitro (Efficacy),NaN,Inhibitory concentration of the compound (dissolved in DMSO) against growth of human NPM-ALK overexpressing murine BaF3 cells upon incubation for two days; Range is ~ 0.01 uM - 1 uM,human,IC50,µM,=,1.0,Patent; Novartis (w/o Sandoz); NOVARTIS AG; WO2005/26130; (2005); A1;,COc1ccc(Nc2nccc(Nc3cc(Cl)ccc3O)n2)cc1OCCN1CCCCC1,0
1374,ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human]:Wild,human,NaN,NaN,In Vitro (Efficacy),NaN,Inhibitory concentration of the compound (dissolved in DMSO) against growth of human NPM-ALK overexpressing murine BaF3 cells upon incubation for two days; Range is ~ 0.01 uM - 1 uM,human,IC50,µM,=,1.0,Patent; Novartis (w/o Sandoz); NOVARTIS AG; WO2005/26130; (2005); A1;,COc1cccc(Nc2ccnc(Nc3ccc(C)c(OCCN4CCCC4)c3)n2)c1S(N)(=O)=O,0
1378,ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human]:Wild,human,NaN,NaN,In Vitro (Efficacy),NaN,Inhibitory concentration of the compound (dissolved in DMSO) against growth of human NPM-ALK overexpressing murine BaF3 cells upon incubation for two days; Range is ~ 0.01 uM - 1 uM,human,IC50,µM,=,1.0,Patent; Novartis (w/o Sandoz); NOVARTIS AG; WO2005/26130; (2005); A1;,COc1ccc(Nc2ccnc(Nc3cccc(OCCN4CCCCC4)c3)n2)c(S(N)(=O)=O)c1,0
1387,ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human]:Wild,human,Inhibitor,NaN,In Vitro (Efficacy),NaN,Inhibitory concentration of the compound (dissolved in DMSO) against growth of human NPM-ALK overexpressing human KARPAS-299 cell line upon incubation for two days; Range is ~ 0.01 uM - 1 uM,human,IC50,µM,=,1.0,Patent; Novartis (w/o Sandoz); NOVARTIS AG; WO2005/26130; (2005); A1;,NS(=O)(=O)c1cc(Br)ccc1Nc1ccnc(Nc2cccc(OCCN3CCCCC3)c2)n1,0
1380,ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human]:Wild,human,NaN,NaN,In Vitro (Efficacy),NaN,Inhibitory concentration of the compound (dissolved in DMSO) against growth of human NPM-ALK overexpressing murine BaF3 cells upon incubation for two days; Range is ~ 0.01 uM - 1 uM,human,IC50,µM,=,1.0,Patent; Novartis (w/o Sandoz); NOVARTIS AG; WO2005/26130; (2005); A1;,COc1cccc(Nc2ccnc(Nc3cccc(OCCN4CCN(C)CC4)c3)n2)c1S(N)(=O)=O,0
1382,ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human]:Wild,human,NaN,NaN,In Vitro (Efficacy),NaN,Inhibitory concentration of the compound (dissolved in DMSO) against growth of human NPM-ALK overexpressing murine BaF3 cells upon incubation for two days; Range is ~ 0.01 uM - 1 uM,human,IC50,µM,=,1.0,Patent; Novartis (w/o Sandoz); NOVARTIS AG; WO2005/26130; (2005); A1;,COc1ccc(Nc2nccc(Nc3cccc(C)c3S(N)(=O)=O)n2)cc1OCCC1CCCN1C,0
1384,ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human]:Wild,human,NaN,NaN,In Vitro (Efficacy),NaN,Inhibitory concentration of the compound (dissolved in DMSO) against growth of human NPM-ALK overexpressing murine BaF3 cells upon incubation for two days; Range is ~ 0.01 uM - 1 uM,human,IC50,µM,=,1.0,Patent; Novartis (w/o Sandoz); NOVARTIS AG; WO2005/26130; (2005); A1;,COc1ccc(Nc2nccc(Nc3ccccc3S(N)(=O)=O)n2)cc1OCCN1CCCCC1,0
1446,ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human]:Wild,human,NaN,NaN,In Vitro (Efficacy),NaN,Antiproliferative activity against growth signal mechanism mediated by human neuroplasmin-anaplastic lymphoma kinase overexpressed in human KARPAS-299 lymphoma cell line upon incubation with the compound dissolved in DMSO for 2 days; Range = 0.01 uM - 1 uM,human,IC50,µM,=,1.0,Patent; Novartis (w/o Sandoz); NOVARTIS AG; WO2006/21454; (2006); A2;,COc1ccc(N2CCCCC2)cc1Nc1ncc(Br)c(Nc2ccccc2S(=O)(=O)NC(C)C)n1,0
1444,ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human]:Wild,human,NaN,NaN,In Vitro (Efficacy),NaN,Antiproliferative activity against growth signal mechanism mediated by human neuroplasmin-anaplastic lymphoma kinase overexpressed in human KARPAS-299 lymphoma cell line upon incubation with the compound dissolved in DMSO for 2 days; Range = 0.01 uM - 1 uM,human,IC50,µM,=,1.0,Patent; Novartis (w/o Sandoz); NOVARTIS AG; WO2006/21454; (2006); A2;,COc1ccc(N2CCOCC2)cc1Nc1ncc(Br)c(Nc2ccccc2S(=O)(=O)NC(C)C)n1,0
1414,ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human]:Wild,human,NaN,NaN,In Vitro (Efficacy),NaN,Antiproliferative activity against growth signal mechanism mediated by human neuroplasmin-anaplastic lymphoma kinase overexpressed in human KARPAS-299 lymphoma cell line upon incubation with the compound dissolved in DMSO for 2 days; Range = 0.01 uM - 1 uM,human,IC50,µM,=,1.0,Patent; Novartis (w/o Sandoz); NOVARTIS AG; WO2006/21454; (2006); A2;,COc1ccc(Nc2ncc(Cl)c(Nc3cccc4c3C(=O)N(C)C4)n2)c(OC)c1,0
1411,ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human]:Wild,human,Inhibitor,inhibitory activity,In Vitro (Efficacy),NaN,In vitro inhibitory concentration of the compound against Anaplastic lymphoma kinase (ALK) autophosphorylation expressed in human KARPAS-299 cell line; Range = 0.01 to 1 uM,NaN,IC50,µM,=,1.0,Patent; Novartis (w/o Sandoz); NOVARTIS AG; WO2005/80393; (2005); A1;,COc1cc(Nc2ncc3ccn(-c4cccc(C(=O)NCCN5CCCC5)n4)c3n2)cc(OC)c1OC,0
1429,ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human]:Wild,human,NaN,NaN,In Vitro (Efficacy),NaN,Antiproliferative activity against growth signal mechanism mediated by human neuroplasmin-anaplastic lymphoma kinase overexpressed in murine BaF3 cells upon incubation with the compound dissolved in DMSO for 2 days; Range = 0.01 uM - 1 uM,human,IC50,µM,=,1.0,Patent; Novartis (w/o Sandoz); NOVARTIS AG; WO2006/21454; (2006); A2;,CNC(=O)c1ccc(Nc2ncc(Cl)c(Nc3cccc4c3S(=O)(=O)CCC4)n2)c(OC)c1,0
1412,ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human]:Wild,human,Inhibitor,inhibitory activity,In Vitro (Efficacy),NaN,In vitro inhibitory concentration of the compound against Anaplastic lymphoma kinase (ALK) autophosphorylation expressed in human KARPAS-299 cell line; Range = 0.01 to 1 uM,NaN,IC50,µM,=,1.0,Patent; Novartis (w/o Sandoz); NOVARTIS AG; WO2005/80393; (2005); A1;,COc1cc(Nc2ncc3ccn(-c4cccc(C(=O)N5CCC[C@H]5C(=O)O)c4)c3n2)cc(OC)c1OC,0
1428,ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human]:Wild,human,NaN,NaN,In Vitro (Efficacy),NaN,Antiproliferative activity against growth signal mechanism mediated by human neuroplasmin-anaplastic lymphoma kinase overexpressed in human KARPAS-299 lymphoma cell line upon incubation with the compound dissolved in DMSO for 2 days; Range = 0.01 uM - 1 uM,human,IC50,µM,=,1.0,Patent; Novartis (w/o Sandoz); NOVARTIS AG; WO2006/21454; (2006); A2;,CCN(C)S(=O)(=O)c1ccccc1Nc1nc(Nc2ccc(N3CCOCC3)cc2OC)ncc1Cl,0
1426,ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human]:Wild,human,NaN,NaN,In Vitro (Efficacy),NaN,Antiproliferative activity against growth signal mechanism mediated by human neuroplasmin-anaplastic lymphoma kinase overexpressed in human KARPAS-299 lymphoma cell line upon incubation with the compound dissolved in DMSO for 2 days; Range = 0.01 uM - 1 uM,human,IC50,µM,=,1.0,Patent; Novartis (w/o Sandoz); NOVARTIS AG; WO2006/21454; (2006); A2;,COc1cc(N2CCOCC2)ccc1Nc1ncc(Cl)c(Nc2ccccc2S(=O)(=O)N(C)C(C)C)n1,0
1424,ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human]:Wild,human,NaN,NaN,In Vitro (Efficacy),NaN,Antiproliferative activity against growth signal mechanism mediated by human neuroplasmin-anaplastic lymphoma kinase overexpressed in human KARPAS-299 lymphoma cell line upon incubation with the compound dissolved in DMSO for 2 days; Range = 0.01 uM - 1 uM,human,IC50,µM,=,1.0,Patent; Novartis (w/o Sandoz); NOVARTIS AG; WO2006/21454; (2006); A2;,CNC(=O)c1ccc(OC)c(Nc2ncc(Cl)c(Nc3ccccc3S(=O)(=O)NCC(C)C)n2)c1,0
1415,ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human]:Wild,human,NaN,NaN,In Vitro (Efficacy),NaN,Antiproliferative activity against growth signal mechanism mediated by human neuroplasmin-anaplastic lymphoma kinase overexpressed in murine BaF3 cells upon incubation with the compound dissolved in DMSO for 2 days; Range = 0.01 uM - 1 uM,human,IC50,µM,=,1.0,Patent; Novartis (w/o Sandoz); NOVARTIS AG; WO2006/21454; (2006); A2;,CNS(=O)(=O)c1ccccc1Nc1nc(Nc2cc3c(cc2OC)OCC(=O)N3C)ncc1Br,0
1422,ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human]:Wild,human,NaN,NaN,In Vitro (Efficacy),NaN,Antiproliferative activity against growth signal mechanism mediated by human neuroplasmin-anaplastic lymphoma kinase overexpressed in human KARPAS-299 lymphoma cell line upon incubation with the compound dissolved in DMSO for 2 days; Range = 0.01 uM - 1 uM,human,IC50,µM,=,1.0,Patent; Novartis (w/o Sandoz); NOVARTIS AG; WO2006/21454; (2006); A2;,COc1cc(N2CCOCC2)ccc1Nc1ncc(Cl)c(Nc2ccccc2-c2nn[nH]n2)n1,0
1420,ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human]:Wild,human,NaN,NaN,In Vitro (Efficacy),NaN,Antiproliferative activity against growth signal mechanism mediated by human neuroplasmin-anaplastic lymphoma kinase overexpressed in human KARPAS-299 lymphoma cell line upon incubation with the compound dissolved in DMSO for 2 days; Range = 0.01 uM - 1 uM,human,IC50,µM,=,1.0,Patent; Novartis (w/o Sandoz); NOVARTIS AG; WO2006/21454; (2006); A2;,COc1ccc(N2CCOCC2)cc1Nc1ncc(Br)c(Nc2ccccc2S(=O)(=O)N(C)C)n1,0
1417,ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human]:Wild,human,NaN,NaN,In Vitro (Efficacy),NaN,Antiproliferative activity against growth signal mechanism mediated by human neuroplasmin-anaplastic lymphoma kinase overexpressed in murine BaF3 cells upon incubation with the compound dissolved in DMSO for 2 days; Range = 0.01 uM - 1 uM,human,IC50,µM,=,1.0,Patent; Novartis (w/o Sandoz); NOVARTIS AG; WO2006/21454; (2006); A2;,COc1ccc(C(N)=O)cc1Nc1ncc(Cl)c(Nc2ccccc2S(=O)(=O)NCC(C)C)n1,0
1431,ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human]:Wild,human,NaN,NaN,In Vitro (Efficacy),NaN,Antiproliferative activity against growth signal mechanism mediated by human neuroplasmin-anaplastic lymphoma kinase overexpressed in murine BaF3 cells upon incubation with the compound dissolved in DMSO for 2 days; Range = 0.01 uM - 1 uM,human,IC50,µM,=,1.0,Patent; Novartis (w/o Sandoz); NOVARTIS AG; WO2006/21454; (2006); A2;,CNS(=O)(=O)c1ccccc1Nc1nc(Nc2cc(N3CCC(N(C)C)C3)ccc2OC)ncc1Br,0
1410,ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human]:Wild,human,Inhibitor,inhibitory activity,In Vitro (Efficacy),NaN,Inhibitory activity against human Nucleophosmin-ALK (NPM-ALK) mediated proliferation of murine Ba/F3 cells upon incubation for 2 days at RT with the compound dissolved in 1 DMSO; Range is 0.01 - 1 uM,NaN,IC50,µM,=,1.0,Patent; Novartis (w/o Sandoz); NOVARTIS AG; US2007/225306; (2007); A1;,COc1cc(Nc2ncc3ccn(-c4cccc(C(=O)N5CCCC5C(=O)O)c4)c3n2)cc(OC)c1OC,0
1442,ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human]:Wild,human,NaN,NaN,In Vitro (Efficacy),NaN,Antiproliferative activity against growth signal mechanism mediated by human neuroplasmin-anaplastic lymphoma kinase overexpressed in human KARPAS-299 lymphoma cell line upon incubation with the compound dissolved in DMSO for 2 days; Range = 0.01 uM - 1 uM,human,IC50,µM,=,1.0,Patent; Novartis (w/o Sandoz); NOVARTIS AG; WO2006/21454; (2006); A2;,CCN(C)S(=O)(=O)c1ccccc1Nc1nc(Nc2ccc(N3CCN(C)CC3)cc2OC)ncc1Cl,0
1440,ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human]:Wild,human,NaN,NaN,In Vitro (Efficacy),NaN,Antiproliferative activity against growth signal mechanism mediated by human neuroplasmin-anaplastic lymphoma kinase overexpressed in human KARPAS-299 lymphoma cell line upon incubation with the compound dissolved in DMSO for 2 days; Range = 0.01 uM - 1 uM,human,IC50,µM,=,1.0,Patent; Novartis (w/o Sandoz); NOVARTIS AG; WO2006/21454; (2006); A2;,CNS(=O)(=O)c1ccccc1Nc1nc(Nc2cc(N3CCC(O)CC3)ccc2OC)ncc1Br,0
1404,ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human]:Wild,human,Inhibitor,inhibitory activity,In Vitro (Efficacy),NaN,In vitro inhibitory concentration of the compound against Anaplastic lymphoma kinase (ALK) autophosphorylation expressed in human KARPAS-299 cell line; Range = 0.01 to 1 uM,NaN,IC50,µM,=,1.0,Patent; Novartis (w/o Sandoz); NOVARTIS AG; WO2005/80393; (2005); A1;,COc1ccc(C)c(Nc2ncc3ccn(-c4ccc(C(=O)O)cc4)c3n2)c1,0
1405,ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human]:Wild,human,Inhibitor,inhibitory activity,In Vitro (Efficacy),NaN,In vitro inhibitory concentration of the compound against Anaplastic lymphoma kinase (ALK) autophosphorylation expressed in human KARPAS-299 cell line; Range = 0.01 to 1 uM,NaN,IC50,µM,=,1.0,Patent; Novartis (w/o Sandoz); NOVARTIS AG; WO2005/80393; (2005); A1;,COc1cc(Nc2ncc3ccn(-c4cccc5c4CC(=O)CC5)c3n2)cc(OC)c1OC,0
1406,ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human]:Wild,human,Inhibitor,inhibitory activity,In Vitro (Efficacy),NaN,Inhibitory activity against human Nucleophosmin-ALK (NPM-ALK) mediated proliferation of KARPAS-299 cells upon incubation for 2 days at RT with compound dissolved in 1 DMSO; Range is 0.001-1 uM,NaN,IC50,µM,=,1.0,Patent; Novartis (w/o Sandoz); NOVARTIS AG; US2007/225306; (2007); A1;,COc1cc(Nc2ncc3ccn(-c4cccc(C(=O)NC(C)C(=O)O)c4)c3n2)cc(OC)c1OC,0
1438,ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human]:Wild,human,NaN,NaN,In Vitro (Efficacy),NaN,Antiproliferative activity against growth signal mechanism mediated by human neuroplasmin-anaplastic lymphoma kinase overexpressed in human KARPAS-299 lymphoma cell line upon incubation with the compound dissolved in DMSO for 2 days; Range = 0.01 uM - 1 uM,human,IC50,µM,=,1.0,Patent; Novartis (w/o Sandoz); NOVARTIS AG; WO2006/21454; (2006); A2;,CNS(=O)(=O)c1ccccc1Nc1nc(Nc2cc(OC[C@H]3CCCN3C)ccc2OC)ncc1Br,0
1436,ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human]:Wild,human,NaN,NaN,In Vitro (Efficacy),NaN,Antiproliferative activity against growth signal mechanism mediated by human neuroplasmin-anaplastic lymphoma kinase overexpressed in human KARPAS-299 lymphoma cell line upon incubation with the compound dissolved in DMSO for 2 days; Range = 0.01 uM - 1 uM,human,IC50,µM,=,1.0,Patent; Novartis (w/o Sandoz); NOVARTIS AG; WO2006/21454; (2006); A2;,CNS(=O)(=O)c1ccccc1Nc1nc(Nc2cc(OC[C@@H]3CCCN3C)ccc2OC)ncc1Br,0
1434,ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human]:Wild,human,NaN,NaN,In Vitro (Efficacy),NaN,Antiproliferative activity against growth signal mechanism mediated by human neuroplasmin-anaplastic lymphoma kinase overexpressed in human KARPAS-299 lymphoma cell line upon incubation with the compound dissolved in DMSO for 2 days; Range = 0.01 uM - 1 uM,human,IC50,µM,=,1.0,Patent; Novartis (w/o Sandoz); NOVARTIS AG; WO2006/21454; (2006); A2;,CNS(=O)(=O)c1ccccc1Nc1nc(Nc2cc(N3CCCCC3)ccc2OC)ncc1Br,0
1408,ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human]:Wild,human,Inhibitor,inhibitory activity,In Vitro (Efficacy),NaN,In vitro inhibitory concentration of the compound against Anaplastic lymphoma kinase (ALK) autophosphorylation expressed in human KARPAS-299 cell line; Range = 0.01 to 1 uM,NaN,IC50,µM,=,1.0,Patent; Novartis (w/o Sandoz); NOVARTIS AG; WO2005/80393; (2005); A1;,COc1cc(Nc2ncc3ccn(-c4cccc(CCC(=O)NCCN)c4)c3n2)cc(OC)c1OC,0
1328,ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human],ALK tyrosine kinase receptor [human]:Wild,human,NaN,NaN,In Vitro (Efficacy),NaN,Inhibitory concentration of the compound (dissolved in DMSO) against growth of human NPM-ALK overexpressing murine BaF3 cells upon incubation for two days; Range is ~ 0.01 uM - 1 uM,human,IC50,µM,=,1.0,Patent; Novartis (w/o Sandoz); NOVARTIS AG; WO2005/26130; (2005); A1;,COc1ccc(Nc2ccnc(Nc3ccc(OC)c(OCCCn4ccnc4)c3)n2)cc1O,0
